,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045028.1461823746,4045034.449679583,4045038.6654446567,4045041.647687417,4045043.8492444362,4045027.5606027753,4045034.0210094303,4045038.35595137,4045041.430230798,4045043.704462209,4045027.0039564553,4045033.6020159964,4045038.0422432027,4045041.1981283305,4045043.5368956584,4045026.476418194,4045033.1967867506,4045037.731199513,4045040.960367384,4045043.3572051176,4045025.9767922494,4045032.806962983,4045037.4264799003,4045040.7221196378,4045043.171749339,4045025.503336555,4045032.4329273235,4045037.1299775206,4045040.486404344,4045042.98442471,4045025.0541495136,4045032.0744113103,4045036.8425859734,4045040.2549789296,4045042.797657777,4045024.627351649,4045031.7308179284,4045036.5646224907,4045040.028839279,4045042.6129681068,4045024.22116755,4045031.4013971095,4045036.296069802,4045039.80851188,4045042.431300725,4045023.8339583795,4045031.0853424366,4045036.0367181646,4045039.5942299077,4045042.2532292027,4045023.4642297984,4045030.781844371,4045035.786250476,4045039.386042123,4045042.079083258,4045023.110627925,4045030.490118937,4045035.5442939536,4045039.1838816386,4045041.9090308435,4045022.771929849,4045030.209422375,4045035.3104517367,4045038.9876100495,4045041.7431320148,4045022.447032071,4045029.939057703,4045035.0843221718,4045038.7970461166,4045041.581374855,4045022.1349385963,4045029.678376633,4045034.865510446,4045038.6119845463,4045041.423699767
1,2021-07-02,4044974.4971147003,4044990.4217422893,4045001.4413635484,4045009.4185891747,4045015.405260049,4044973.1018710276,4044989.3513514884,4045000.6440375163,4045008.8458645847,4045015.0176742766,4044971.780214421,4044988.3079044363,4044999.83745831,4045008.2354532736,4045014.5695504835,4044970.5318204877,4044987.3013329213,4044999.0393161825,4045007.6111053387,4045014.089545269,4044969.3531792415,4044986.335423302,4044998.258924945,4045006.986433515,4045013.5947250673,4044968.2395758354,4044985.4108289476,4044997.5010176175,4045006.3693374204,4045013.095519954,4044967.1860071532,4044984.526605344,4044996.7677472476,4045005.7643735255,4045012.5984003725,4044966.187602813,4044983.681020455,4044996.059788908,4045005.174086048,4045012.107396026,4044965.239807655,4044982.871992311,4044995.3769677794,4045004.599783433,4045011.624993044,4044964.3384475424,4044982.09732761,4044994.7186266314,4045004.042005675,4045011.1526818424,4044963.479738285,4044981.3548510545,4044994.0838449625,4045003.5008127457,4045010.6913010846,4044962.660267775,4044980.6424734434,4044993.471571271,4045002.975966247,4045010.2412587036,4044961.8769666543,4044979.9582250086,4044992.8807032653,4045002.4670456247,4045009.8026767066,4044961.127075308,4044979.3002689495,4044992.3101362935,4045001.9735233765,4045009.375487578,4044960.408111076,4044978.666903776,4044991.7587920944,4045001.4948140676,4045008.9594992977
2,2021-07-03,4044903.8836088316,4044930.9605899486,4044950.28782922,4044964.5807155273,4044975.4735683026,4044901.642185163,4044929.165452856,4044948.91115961,4044963.571054644,4044974.7796194227,4044899.5250755097,4044927.4194628363,4044947.5209315447,4044962.4963463703,4044973.9780185395,4044897.530742628,4044925.7388608446,4044946.14762771,4044961.398579078,4044973.1202628086,4044895.6526510874,4044924.1295340075,4044944.8071464817,4044960.301731882,4044972.2369763623,4044893.882467992,4044922.592134672,4044943.507433994,4044959.219643549,4044971.346829271,4044892.211525789,4044921.1246795864,4044942.251976673,4044958.1602290636,4044970.461362291,4044890.6314807436,4044919.7239150596,4044941.0417213985,4044957.1278467476,4044969.587726066,4044889.134587597,4044918.3860490504,4044939.8761671125,4044956.1246780963,4044968.73029915,4044887.713788729,4044917.1071465276,4044938.7540013343,4044955.1515570623,4044967.891675678,4044886.362714554,4044915.8833407657,4044937.673478068,4044954.2084809267,4044967.07328498,4044885.0756433844,4044914.710942087,4044936.632644609,4044953.2949312655,4044966.2757892953,4044883.847445042,4044913.586488843,4044935.629478045,4044952.41007867,4044965.4993439596,4044882.673520374,4044912.506765832,4044934.6619668235,4044951.552914726,4044964.7437703055,4044881.5497425683,4044911.468804576,4044933.728158456,4044950.7223376315,4044964.0086720237
3,2021-07-04,4044820.4802748957,4044859.13356198,4044887.527255858,4044908.9482047735,4044925.512495369,4044817.4532786305,4044856.6099822624,4044885.538123217,4044907.460216565,4044924.4745068527,4044814.600962956,4044854.1602590433,4044883.5324674076,4044905.8781974413,4044923.276495966,4044811.920080898,4044851.806699603,4044881.5542412587,4044904.2641780605,4044921.99574424,4044809.400781675,4044849.5570047353,4044879.6261724792,4044902.653465831,4044920.6781463134,4044807.030950783,4044847.4115452007,4044877.759446608,4044901.066334143,4044919.3516185423,4044804.7981718984,4044845.367044316,4044875.958801387,4044899.5142876846,4044918.0333598456,4044802.6905940743,4044843.4185033883,4044874.2253229846,4044898.003578526,4044916.733975843,4044800.6972804833,4044841.5602278444,4044872.5580319185,4044896.5372539833,4044915.459914947,4044798.808309287,4044839.786376545,4044870.954804929,4044895.1163857956,4044914.2149548144,4044797.0147578595,4044838.091251532,4044869.4129201085,4044893.74082601,4044913.0011342047,4044795.3086352977,4044836.469443925,4044867.9293823475,4044892.4096808094,4044911.8193504815,4044793.6827955777,4044834.9158993666,4044866.501117834,4044891.1216118853,4044910.6697499696,4044792.130847296,4044833.425938544,4044865.1250891485,4044889.8750300417,4044909.5519869155,4044790.647067552,4044831.9952530265,4044863.798361599,4044888.668220237,4044908.4653973994
4,2021-07-05,4044727.3984809397,4044777.360704957,4044815.064159939,4044844.050145042,4044866.7762368037,4044723.693107644,4044774.152238012,4044812.4682993847,4044842.0711657316,4044865.3758980413,4044720.208450538,4044771.0428840765,4044809.854404136,4044839.969314751,4044863.760901767,4044716.93931701,4044768.060409786,4044807.279715652,4044837.8272633418,4044862.035815326,4044713.8725896482,4044765.2139606304,4044804.773602522,4044835.6919241617,4044860.26265835,4044710.992553977,4044762.5033994224,4044802.3503131494,4044833.5901089557,4044858.479076286,4044708.283283891,4044759.924018742,4044800.0156792463,4044831.536922629,4044856.7081905087,4044705.729679059,4044757.468994848,4044797.7707897043,4044829.54047241,4044854.9641953497,4044703.3178680516,4044755.130688151,4044795.6140698157,4044827.6046084254,4044853.2556641293,4044701.0353111145,4044752.901333874,4044793.5424864744,4044825.730566658,4044851.587565662,4044698.8707636916,4044750.773401978,4044791.552258211,4044823.9179776357,4044849.9625275307,4044696.8141799164,4044748.7397746616,4044789.639277046,4044822.1654974096,4044848.3816452916,4044694.856595171,4044746.7938225013,4044787.799358972,4044820.4712078283,4044846.8450104576,4044692.990006715,4044744.929424475,4044786.02839082,4044818.832872841,4044845.352060203,4044691.207261166,4044743.140957553,4044784.3224137323,4044817.2481033457,4044843.901811762
5,2021-07-06,4044627.3018983393,4044687.8173070825,4044734.6759167854,4044771.356838161,4044800.5006007995,4044623.0483298735,4044683.9981418415,4044731.5073016114,4044768.8965633907,4044798.735405178,4044619.0546939042,4044680.302329958,4044728.3204971002,4044766.2859893,4044796.7010378344,4044615.3138445267,4044676.7622912405,4044725.1852347734,4044763.6280798395,4044794.5296624214,4044611.809698734,4044673.3882327043,4044722.1370368195,4044760.98109941,4044792.299573027,4044608.523364384,4044670.1793540474,4044719.192909221,4044758.378204594,4044790.0582006862,4044605.435861265,4044667.1294875555,4044716.3595841182,4044755.8379489877,4044787.8345933277,4044602.5292875357,4044664.230024341,4044713.638030762,4044753.3701745747,4044785.646509566,4044599.787258848,4044661.4714573533,4044711.0260034753,4044750.9794377484,4044783.504608656,4044597.195005864,4044658.8441949612,4044708.519514722,4044748.667060859,4044781.415005202,4044594.7393155443,4044656.338980234,4044706.113700016,4044746.4323898423,4044779.380868543,4044592.4084067834,4044653.947093685,4044703.8033295185,4044744.27357939,4044777.403446302,4044590.1917847544,4044651.660436377,4044701.583109968,4044742.1880898285,4044775.4827314164,4044588.0800952525,4044649.471547344,4044699.4478601967,4044740.1730043134,4044773.6179032777,4044586.0649886676,4044647.3735858058,4044697.392609553,4044738.225232053,4044771.8076228704
6,2021-07-07,4044521.8418812146,4044591.9421249293,4044647.582430008,4044691.900075816,4044727.5644520703,4044517.165750889,4044587.596154475,4044643.8885602984,4044688.9807700603,4044725.4415864255,4044512.7811882515,4044583.3957839394,4044640.1774146906,4044685.8857386773,4044722.9965570653,4044508.6792672803,4044579.3772737402,4044636.5301293503,4044682.737348794,4044720.3886883785,4044504.8413860966,4044575.551565744,4044632.9877702435,4044679.6046675947,4044717.7122606626,4044501.2460124386,4044571.9171211333,4044629.5697584287,4044676.526844741,4044715.0242863423,4044497.871658136,4044568.466367172,4044626.2835400854,4044673.525651314,4044712.3595885034,4044494.698138603,4044565.1890314193,4044623.12987211,4044670.6125097307,4044709.7393743386,4044491.707033761,4044562.073892082,4044620.1058023293,4044667.792579017,4044707.1762987785,4044488.8817765475,4044559.109695016,4044617.2063884176,4044665.0671985555,4044704.677550802,4044486.2075730353,4044556.285621564,4044614.425704076,4044662.4353840365,4044702.246784437,4044483.6712534046,4044553.5915106735,4044611.75743177,4044659.894759756,4044699.8853534507,4044481.2611020263,4044551.0179459513,4044609.1952106277,4044657.4421472745,4044697.5931150685,4044478.9666895675,4044548.556269097,4044606.732837057,4044655.0739401476,4044695.368960771,4044476.7787172883,4044546.19855432,4044604.364375824,4044652.7863431517,4044693.211170807
7,2021-07-08,4044412.5231828736,4044491.0750854323,4044554.944559974,4044606.6808448094,4044648.834919415,4044407.5423396835,4044486.2913359115,4044550.7825795435,4044603.3345810496,4044646.3695281157,4044402.8769387845,4044481.6727598123,4044546.60503764,4044599.789589496,4044643.5316324066,4044398.5165595873,4044477.2586648534,4044542.503189443,4044596.186326487,4044640.5066645555,4044394.4406056064,4044473.0604540976,4044538.5229545147,4044592.6038843873,4044637.4042423386,4044390.6254953793,4044469.07583803,4044534.6858075047,4044589.086934216,4044634.2905422733,4044387.047815389,4044465.2959571816,4044530.9997345028,4044585.66017522,4044631.2058855384,4044383.6856415793,4044461.709055653,4044527.465214879,4044582.3364335196,4044628.1747397054,4044380.5190113853,4044458.3024021066,4044524.078588657,4044579.1213653935,4044625.2116255662,4044377.530001871,4044455.063290476,4044520.8339946335,4044576.016267994,4044622.3247161615,4044374.702631476,4044451.979545927,4044517.72450172,4044573.01979772,4044619.518087248,4044372.0226907465,4044449.0397610757,4044514.7427729764,4044570.1290393732,4044616.793155089,4044369.4775529895,4044446.233384598,4044511.8814533795,4044567.340179836,4044614.1496113962,4044367.055988828,4044443.550729915,4044509.1333917896,4044564.6489358144,4044611.586039982,4044364.7479951167,4044440.982941936,4044506.491762382,4044562.0508259977,4044609.1003279644
8,2021-07-09,4044300.0609889645,4044385.9397095386,4044457.4291440384,4044516.2935251924,4044564.8361474574,4044294.870378189,4044380.7996021467,4044452.8560962486,4044512.5552357677,4044562.0467436244,4044290.0121966763,4044375.8413347835,4044448.2696726974,4044508.59762033,4044558.837558711,4044285.474878628,4044371.106593564,4044443.7699775053,4044504.5777762127,4044555.4188025645,4044281.23635753,4044366.6070525832,4044439.4071239945,4044500.583980462,4044551.9146238957,4044277.271563152,4044362.3397164145,4044435.204313581,4044496.665929394,4044548.3998569935,4044273.5556945386,4044358.2945962893,4044431.1699322304,4044492.850957588,4044544.9199954835,4044270.065581196,4044354.4586597737,4044427.304148036,4044489.153125665,4044541.50255471,4044266.7801600727,4044350.817889353,4044423.602619938,4044485.5784948673,4044538.163781676,4044263.680544353,4044347.3583496287,4044420.0586282974,4044482.1282764133,4044534.912742095,4044260.7499108086,4044344.066722707,4044416.6643155287,4044478.8007546416,4044531.753874639,4044257.9733152157,4044340.9305544486,4044413.4114118936,4044475.592481792,4044528.688621572,4044255.3374885754,4044337.9383431403,4044410.291657419,4044472.4990294296,4044525.716488064,4044252.830638754,4044335.0795432925,4044407.2970417934,4044469.5154644256,4044522.835740034,4044250.4422681676,4044332.3445253046,4044404.4199341703,4044466.636650887,4044520.0438688155
9,2021-07-10,4044185.0423554373,4044277.139143972,4044355.6007054504,4044421.247887947,4044476.0224231253,4044179.7158590537,4044271.715554277,4044350.6718580183,4044417.1537910756,4044472.92970721,4044174.7329981294,4044266.487537617,4044345.7320361347,4044412.8220927445,4044469.373242474,4044170.0814169236,4044261.4986028657,4044340.8889734196,4044408.4250181695,4044465.5865005753,4044165.738057655,4044256.7605698565,4044336.1963601965,4044404.059162966,4044461.707250779,4044161.676855026,4044252.269818701,4044331.678833852,4044399.7787477532,4044457.818421891,4044157.8720855494,4044248.015408339,4044327.3450699737,4044395.6134553137,4044453.970324835,4044154.2997529865,4044243.9832457206,4044323.1949160644,4044391.5784224076,4044450.1932968264,4044150.938067321,4044240.1582528697,4044319.2233966603,4044387.6800359413,4044446.5051677274,4044147.7675065333,4044236.5254858066,4044315.423010404,4044383.9193909913,4044442.915806474,4044144.770693867,4044233.0706922226,4044311.7850647466,4044380.2944002138,4044439.4299609964,4044141.9322027615,4044229.7805647445,4044308.300454529,4044376.801102581,4044436.049069961,4044139.238343271,4044226.642828814,4044304.9601127775,4044373.4344850876,4044432.772438698,4044136.676955005,4044223.6462419243,4044301.7552654855,4044370.1890021386,4044429.598013009,4044134.23721728,4044220.7805470945,4044298.677568106,4044367.0589041063,4044426.5228937175
