,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333800.44313736,84333998.78442241,84334132.16869828,84334226.87671547,84334296.9778706,84333782.0850684,84333985.25436153,84334122.35666217,84334219.96108097,84334292.3629441,84333764.64474323,84333972.03560075,84334112.4142012,84334212.58137083,84334287.02261525,84333748.12602295,84333959.25661461,84334102.55937126,84334205.02356683,84334281.29690605,84333732.48995765,84333946.96858,84334092.90798509,84334197.45213506,84334275.38858822,84333717.68067113,84333935.18295804,84334083.51978908,84334189.96300359,84334269.42186306,84333703.63748166,84333923.8907106,84334074.42282659,84334182.61193183,84334263.47403412,84333690.30057427,84333913.07249284,84334065.62687841,84334175.43044607,84334257.59347047,84333677.61354385,84333902.70419265,84334057.13114138,84334168.43514405,84334251.81021671,84333665.52439,84333892.75997832,84334048.92873503,84334161.63330191,84334246.14247406,84333653.98574413,84333883.2139717,84334041.00940007,84334155.02634081,84334240.60067214,84333642.95472519,84333874.04114701,84334033.36113562,84334148.612015,84334235.19008811,84333632.39262755,84333865.21778691,84334025.97119899,84334142.38581555,84334229.91256477,84333622.26454663,84333856.72168396,84334018.82671484,84334136.34188199,84334224.76765628,84333612.53899583,84333848.5321963,84334011.91504176,84334130.4735989,84334219.75340252
1,2021-07-02,84332108.09035465,84332602.8173091,84332947.72816028,84333198.72690736,84333387.82013369,84332064.93412973,84332569.41632849,84332922.6958548,84333180.66648267,84333375.55736135,84332024.08452566,84332536.87494478,84332897.38412565,84333161.42383811,84333361.38245632,84331985.52657065,84332505.50119458,84332872.34813759,84333141.7484744,84333346.20292069,84331949.1473015,84332475.411098,84332847.8795095,84333122.06960358,84333330.55902958,84331914.79713872,84332446.6229811,84332824.12583645,84333102.63596895,84333314.78077643,84331882.31820178,84332419.10550028,84332801.15368035,84333083.59075065,84333299.07270043,84331851.55725099,84332392.8029631,84332778.98324902,84333065.01362735,84333283.56202792,84331822.37124597,84332367.64897831,84332757.60814975,84333046.94531164,84333268.32710879,84331794.62930252,84332343.57388169,84332737.00693749,84333029.40231156,84333253.41477983,84331768.21290196,84332320.50874737,84332717.14999408,84333012.38603757,84333238.85126415,84331743.01528336,84332298.38748835,84332698.00367497,84332995.88853471,84333224.64917314,84331718.94049107,84332277.14787452,84332679.53281912,84332979.89614722,84333210.81209224,84331695.90231751,84332256.73193552,84332661.70226075,84332964.39188795,84333197.3376327,84331673.82325928,84332237.08601695,84332644.4777236,84332949.35698092,84333184.21948868
2,2021-07-03,84329892.42085285,84330725.90500829,84331325.97300039,84331772.5300264,84332114.46966662,84329823.7167372,84330670.34320162,84331283.06086697,84331740.89096956,84332092.63536112,84329758.8736314,84330616.33720738,84331239.74798577,84331707.22644275,84332067.42085116,84329697.83581577,84330564.38600776,84331196.98396154,84331672.85331039,84332040.44821984,84329640.39540164,84330514.66771275,84331155.26269054,84331638.52281365,84332012.68166085,84329586.29058784,84330467.19858927,84331114.82980053,84331604.66779515,84331984.70856795,84329535.25041051,84330421.91372503,84331075.79186046,84331571.53518793,84331956.89164309,84329487.0147713,84330378.70933454,84331038.17639248,84331539.26038592,84331929.45526786,84329441.34269701,84330337.46540137,84331001.96596336,84331507.91058482,84331902.53652307,84329398.01493101,84330298.05787192,84330967.11804359,84331477.51081967,84331876.21632847,84329356.83382624,84330260.36514513,84330933.5767829,84331448.0599961,84331850.53897402,84329317.62201755,84330224.27138937,84330901.28006564,84331419.54095496,84331825.52465238,84329280.22061452,84330189.66807656,84330870.16374749,84331391.92688634,84331801.1776542,84329244.48728408,84330156.45451412,84330840.16417927,84331365.18545972,84331777.49181129,84329210.29440084,84330124.53782097,84330811.21967605,84331339.28149956,84331754.45415717
3,2021-07-04,84327283.08609074,84328464.85072985,84329340.87891623,84330006.35921688,84330523.71049608,84327190.85432345,84328387.2024549,84329279.21356982,84329959.96082726,84330491.19565637,84327104.01008882,84328311.87600547,84329217.06933777,84329910.6509717,84330453.67965671,84327022.44292836,84328239.55220087,84329155.80777226,84329860.36556843,84330413.58625084,84326945.84265368,84328170.46192226,84329096.13076438,84329810.2052018,84330372.35409462,84326873.83173996,84328104.61083509,84329038.38182208,84329760.80065604,84330330.85754971,84326806.0249581,84328041.89299448,84328982.70452595,84329712.50885633,84330289.63463664,84326742.0555729,84327982.15015139,84328929.12945291,84329665.52281773,84330249.01653306,84326681.5857458,84327925.203291,84328877.62343572,84329619.93566336,84330209.2040675,84326624.30941308,84327870.86946447,84328828.11816543,84329575.77903175,84330170.31438775,84326569.95164254,84327818.9706262,84328780.52708042,84329533.04668058,84330132.4102096,84326518.2664455,84327769.33804864,84328734.7554304,84329491.70927069,84330095.5185639,84326469.03402473,84327721.81426984,84328690.70627588,84329451.72375958,84330059.64303812,84326422.05793984,84327676.2536679,84328648.28402555,84329413.0394283,84330024.77189235,84326377.16241556,84327632.52228469,84328607.39646417,84329375.60176744,84329990.88350557
4,2021-07-05,84324366.12123808,84325887.80470587,84327046.5117162,84327943.69725423,84328651.12522793,84324253.46537922,84325789.37485771,84326966.28377898,84327882.16842452,84328607.37653184,84324147.5910747,84325694.04526465,84326885.5416763,84327816.84741093,84328556.93787186,84324048.32743773,84325602.66072069,84326806.05298285,84327750.30674301,84328503.08016258,84323955.26441301,84325515.49422002,84326728.72170737,84327684.00437851,84328447.74235637,84323867.91488604,84325432.53444497,84326653.98386002,84327618.77195185,84328392.10032785,84323785.78701599,84325353.63067868,84326582.01531045,84327555.07654603,84328336.87533063,84323708.4155057,84325278.5681477,84326512.84563585,84327493.16752917,84328282.509298,84323635.37359688,84325207.10786429,84326446.42249756,84327433.16198067,84328229.26838784,84323566.27596854,84325139.00772037,84326382.64891356,84327375.09587793,84328177.30612965,84323500.77744213,84325074.03342766,84326321.40518454,84327318.9555009,84328126.70297247,84323438.56989726,84325011.96386813,84326262.5618951,84327264.69705996,84328077.49160726,84323379.37858155,84324952.59334567,84326205.98761298,84327212.2591335,84328029.67348,84323322.95838611,84324895.7321288,84326151.55338596,84327161.57062124,84327983.22972158,84323269.0903489,84324841.20607083,84326099.13528289,84327112.55585049,84327938.12846762
5,2021-07-06,84321210.62867506,84323052.16367699,84324490.107082,84325623.65163514,84326529.47606492,84321081.09062068,84322934.98545814,84324392.22780843,84325547.21351272,84326474.36836565,84320959.53689793,84322821.655937,84324293.83656114,84325466.1398412,84326410.8779182,84320845.73697741,84322713.1619398,84324197.0853804,84325383.63213323,84326343.13582627,84320739.18999963,84322609.80827163,84324103.0671473,84325301.49973306,84326273.58800337,84320639.31148426,84322511.56258659,84324012.30201387,84325220.7702711,84326203.71483877,84320545.51598276,84322418.22878376,84323924.992795,84325142.01700473,84326134.42173262,84320457.25231878,84322329.5368401,84323841.16465698,84325065.5423719,84326066.26111738,84320374.0166934,84322245.19008267,84323760.74395196,84324991.48469709,84325999.5635925,84320295.35542637,84322164.8900399,84323683.60374333,84324919.88205557,84325934.51786628,84320220.86298126,84322088.34918971,84323609.59049667,84324850.71139592,84325871.22078858,84320150.17802829,84322015.29707241,84323538.53983647,84324783.91294383,84325809.70935583,84320082.97888993,84321945.48274663,84323470.28582071,84324719.40562819,84325749.98155645,84320018.97901084,84321878.67524396,84323404.66631162,84324657.09691514,84325692.01014717,84319957.92274097,84321814.6629565,84323341.52596906,84324596.88909724,84325635.75186199
6,2021-07-07,84317864.25205629,84319999.73896904,84321707.32181832,84323076.4670052,84324184.5304213,84317721.25543414,84319866.11559537,84321593.08776164,84322985.70575307,84324118.2242358,84317587.23559636,84319737.0323339,84321478.37277998,84322889.51961914,84324041.87956263,84317461.90782945,84319613.59598275,84321365.6837071,84322791.71572709,84323960.47867519,84317344.69327107,84319496.13446584,84321256.28563021,84322694.44026801,84323876.96819885,84317234.92523766,84319384.59260416,84321150.77349043,84322598.90746363,84323793.12836878,84317131.93997025,84319278.73066884,84321049.37196752,84322505.7904987,84323710.04508834,84317035.1148815,84319178.22693409,84320952.09930089,84322415.44066185,84323628.37837458,84316943.88240072,84319082.73141378,84320858.8595826,84322328.01465087,84323548.52090247,84316857.73246862,84318991.89393765,84320769.49593297,84322243.55068623,84323470.69462109,84316776.20992261,84318905.37841386,84320683.82158327,84322162.01507255,84323395.0111841,84316698.90980256,84318822.86954701,84320601.63815264,84322083.3311913,84323321.5105723,84316625.47204646,84318744.07541813,84320522.74634771,84322007.39778681,84323250.18622056,84316555.57627077,84318668.72781594,84320446.95210977,84321934.10059105,84323181.00160044,84316488.93694165,84318596.58138241,84320374.06999792,84321863.31973161,84323113.9012861
7,2021-07-08,84314366.40748663,84316766.1832974,84318729.33924006,84320329.15222566,84321639.70091358,84314213.10419144,84316618.50911331,84318600.28122997,84320224.90902707,84321562.57086796,84314069.55949074,84316475.99224266,84318470.7940248,84320114.51573314,84321473.81353705,84313935.44275828,84316339.83840655,84318343.70480946,84320002.35061687,84321379.23662075,84313810.1116828,84316210.39159374,84318220.43243004,84319890.87626785,84321282.27147497,84313692.83361332,84316087.57374966,84318101.63699429,84319781.48105352,84321184.98779278,84313582.88240704,84315971.10495062,84317987.56044997,84319674.93042171,84321088.64499559,84313479.57886928,84315860.61682759,84317878.21243106,84319571.61980549,84320994.00587083,84313382.30506626,84315755.71178268,84317773.47479858,84319471.72144945,84320901.5217934,84313290.506549,84315655.99376401,84317673.16175054,84319375.27211137,84320811.44556044,84313203.68918309,84315561.08376664,84317577.05486496,84319282.2266451,84320723.90192507,84313121.4138229,84315470.62701738,84317484.92363265,84319192.49131194,84320638.9326397,84313043.29039258,84315384.29561818,84317396.53741941,84319105.94474831,84320556.52572972,84312968.97210659,84315301.78873649,84317311.67228918,84319022.45126157,84320476.63478792,84312898.15014769,84315222.83151451,84317230.11471587,84318941.86927539,84320399.19182982
8,2021-07-09,84310741.47884892,84313375.23046997,84315577.79724525,84317400.93629195,84318911.9305469,84310580.4966176,84313215.75217721,84315435.48565781,84317284.16340451,84318824.46851501,84310429.86466448,84313061.96726424,84315292.80890621,84317160.5807424,84318723.87232497,84310289.21612571,84312915.1620837,84315152.87959498,84317035.09823368,84318616.73986645,84310157.8597436,84312775.691602,84315017.25223024,84316910.47193886,84318506.96581373,84310035.01238218,84312643.45626499,84314886.64316487,84316788.25083573,84318396.89583252,84309919.90036815,84312518.14041498,84314761.30783422,84316669.28464334,84318287.95415367,84309811.80150862,84312399.33484457,84314641.24640658,84316554.00832072,84318181.00062084,84309710.05970365,84312286.60058412,84314526.31930865,84316442.6071402,84318076.54153237,84309614.08692907,84312179.5019032,84314416.31353359,84316335.11520427,84317974.85804303,84309523.3596213,84312077.62281258,84314310.98120746,84316231.4755684,84317876.08638582,84309437.41285685,84311980.5746066,84314210.0621166,84316131.5775643,84317780.26906437,84309355.83395684,84311887.99853013,84314113.2967751,84316035.28025067,84317687.38809131,84309278.25627613,84311799.56582622,84314020.43383116,84315942.42724954,84317597.38687015,84309204.35350253,84311714.9764266,84313931.2340534,84315852.85614271,84317510.18475367
9,2021-07-10,84307006.7846184,84309844.4866859,84312269.18705119,84314306.74576439,84316014.53938432,84306840.19402201,84309675.22381613,84312115.14739944,84314178.4355137,84315917.30296808,84306684.3850336,84309512.10885952,84311960.81204402,84314042.71928638,84315805.51487231,84306538.96426642,84309356.49348862,84311809.545392,84313904.997193,84315686.522389,84306403.20471106,84309208.74024874,84311663.02065088,84313768.29503648,84315564.65899132,84306276.28638837,84309068.73040071,84311522.00246127,84313634.30868915,84315442.53112772,84306157.40095757,84308936.11750154,84311386.75676803,84313503.96428898,84315321.71824488,84306045.79487754,84308810.45752054,84311257.27407455,84313377.73199864,84315203.17112768,84305940.78423262,84308691.27639356,84311133.39471154,84313255.80796179,84315087.44710714,84305841.75653583,84308578.10484408,84311014.88062692,84313138.2228138,84314974.85325895,84305748.16678676,84308470.49569032,84310901.45705667,84313024.9078366,84314865.53582643,84305659.53128873,84308368.03166239,84310792.83679968,84312915.73597425,84314759.5372459,84305575.42090474,84308270.32807091,84310688.73424624,84312810.54756205,84314656.83314069,84305495.45453124,84308177.03272122,84310588.87328403,84312709.1665712,84314557.3566494,84305419.29312088,84308087.82441068,84310492.99151336,84312611.41087025,84314461.01459095
