,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045029.142028846,4045035.2530897176,4045039.3371574427,4045042.2248028293,4045044.355769221,4045028.5740510053,4045034.837677036,4045039.037413493,4045042.0142839258,4045044.215648951,4045028.0340931136,4045034.4316178216,4045038.733574375,4045041.789579515,4045044.053474557,4045027.522331305,4045034.0388753233,4045038.4323029215,4045041.5593895726,4045043.8795621973,4045027.0376117555,4045033.66104263,4045038.137144305,4045041.328720804,4045043.7000655187,4045026.5782499183,4045033.298493049,4045037.849933158,4045041.100496507,4045043.5187554285,4045026.1424057116,4045032.9509687265,4045037.5715361033,4045040.876418573,4045043.337980514,4045025.7282598,4045032.6178931575,4045037.3022615067,4045040.657451706,4045043.159211683,4045025.3340931865,4045032.2985412558,4045037.0420936826,4045040.4441061914,4045042.983363851,4045024.9583188384,4045031.9921330935,4045036.79083044,4045040.2366083325,4045042.810992452,4045024.5994894626,4045031.6978855003,4045036.548165503,4045040.0350058633,4045042.6424169117,4045024.256293657,4045031.415039895,4045036.313738577,4045039.839234513,4045042.477800088,4045023.92754677,4045031.142876509,4045036.0871659587,4045039.6491607316,4045042.317200392,4045023.6121797385,4045030.8807207677,4045035.868059224,4045039.4646094544,4045042.1606065608,4045023.309227576,4045030.6279451675,4045035.656036504,4045039.2853822913,4045042.007961163
1,2021-07-02,4044977.1228836384,4044992.592328758,4045003.2863859916,4045011.022522781,4045016.8252776414,4044975.7667214936,4044991.5531308996,4045002.512923328,4045010.467267277,4045016.449680897,4044974.4819591613,4044990.5400139503,4045001.7304387894,4045009.8754490456,4045016.015405482,4044973.2683017254,4044989.5626280135,4045000.956094102,4045009.2700914606,4045015.5502181216,4044972.12235567,4044988.6246578908,4045000.1989275794,4045008.6643922697,4045015.0706560547,4044971.0395536814,4044987.726746411,4044999.4635346993,4045008.0660116407,4045014.586826736,4044970.015045709,4044986.867984295,4044998.752008326,4045007.4793691393,4045014.105001196,4044969.04410851,4044986.046696763,4044998.065007388,4045006.9069336466,4045013.6290855915,4044968.12232338,4044985.260868391,4044997.402366022,4045006.3499759543,4045013.161490419,4044967.245640431,4044984.508374837,4044996.763450007,4045005.8090217253,4045012.7036613,4044966.410387547,4044983.7871085126,4044996.1473693503,4045005.28413108,4045012.256412234,4044965.6132532414,4044983.0950447884,4044995.553106626,4045004.77507469,4045011.820139751,4044964.851258336,4044982.4302744516,4044994.9795948155,4045004.281446451,4045011.3949632132,4044964.1217240286,4044981.791016926,4044994.425764324,4045003.8027363997,4045010.980818231,4044963.422240144,4044981.1756226174,4044993.8905709093,4045003.338378255,4045010.577519674
2,2021-07-03,4044908.574089472,4044934.9171997025,4044953.6991792982,4044967.577216003,4044978.1472225003,4044906.392119996,4044933.17193736,4044952.3620229694,4044966.597230554,4044977.4740380454,4044904.330955231,4044931.4743120405,4044951.0116062844,4044965.554056079,4044976.696393971,4044902.389134711,4044929.8401288753,4044949.6775393756,4044964.488442262,4044975.8642391274,4044900.560328033,4044928.2751285345,4044948.375271249,4044963.4236641643,4044975.0072786487,4044898.836450059,4044926.779961602,4044947.1125285383,4044962.3731571827,4044974.1436241157,4044897.20908529,4044925.3527146406,4044945.892706358,4044961.3446082072,4044973.284472679,4044895.6701295217,4044923.9902372016,4044944.716732701,4044960.34225236,4044972.4367635264,4044894.2120578834,4044922.688853645,4044943.5841284385,4044959.3682118515,4044971.6047470397,4044892.828012227,4044921.4447476943,4044942.493625492,4044958.4233006816,4044970.79094264,4044891.5118020126,4044920.2541680695,4044941.443533912,4044957.507520402,4044969.996739717,4044890.2578656417,4044919.1135344123,4044940.431962232,4044956.6203716192,4044969.2227833653,4044889.061215896,4044918.019487033,4044939.4569501304,4044955.7610527035,4044968.4692267464,4044887.9173813225,4044916.968904978,4044938.516547732,4044954.9285879144,4044967.7358988067,4044886.822349317,4044915.95890643,4044937.608862017,4044954.121910529,4044967.0224171556
3,2021-07-04,4044827.545720451,4044865.1960557993,4044892.81933922,4044913.639766032,4044929.728144209,4044824.5957234516,4044862.7399273333,4044890.8853402,4044912.1941604,4044928.720346231,4044821.8156844233,4044860.355471826,4044888.935135223,4044910.6571155326,4044927.5571319424,4044819.2024882706,4044858.064423833,4044887.011463191,4044909.0888881795,4044926.313522841,4044816.746577751,4044855.8743040143,4044885.1364331967,4044907.5237816223,4044925.034074437,4044814.436182491,4044853.7854975616,4044883.320934463,4044905.981497587,4044923.7458915925,4044812.2592316032,4044851.7948371023,4044881.5695872996,4044904.4732206855,4044922.4656760525,4044810.204199778,4044849.897476402,4044879.883460821,4044903.005033041,4044921.203729326,4044808.260448109,4044848.087889212,4044878.261614511,4044901.579903145,4044919.9663171573,4044806.418323231,4044846.360404197,4044876.701994445,4044900.19887969,4044918.7571123005,4044804.669142637,4044844.7094872664,4044875.2019633567,4044898.861825781,4044917.5780990254,4044803.0051294677,4044843.129883885,4044873.758617165,4044897.567879231,4044916.4301531175,4044801.419328332,4044841.6166830524,4044872.3689742126,4044896.315745362,4044915.31342082,4044799.9055177053,4044840.1653375137,4044871.0300872987,4044895.1038851403,4044914.2275702464,4044798.458126287,4044838.7716599144,4044869.7391082947,4044893.9306367096,4044913.171960242
4,2021-07-05,4044737.080252578,4044785.788999402,4044822.5011071116,4044850.6974199526,4044872.7872678996,4044733.4664622056,4044782.6638328903,4044819.975255356,4044848.773407355,4044871.4267324796,4044730.0676141935,4044779.6349446094,4044817.431668173,4044846.729815413,4044869.857571507,4044726.8787022326,4044776.729410943,4044814.926049808,4044844.647009736,4044868.181362675,4044723.886983267,4044773.9561729864,4044812.48699256,4044842.5706025576,4044866.458356908,4044721.0771729434,4044771.3151281727,4044810.128379338,4044840.5266693616,4044864.7251305585,4044718.4337729225,4044768.8017188553,4044807.855903429,4044838.529906417,4044863.004152447,4044715.9420838323,4044766.4093222325,4044805.670641969,4044836.5882073236,4044861.3092199177,4044713.5885995934,4044764.1305172886,4044803.571078589,4044834.705326529,4044859.64866979,4044711.3611086486,4044761.9577579284,4044801.554276001,4044832.8824762017,4044858.0273369136,4044709.2486592173,4044759.8837239984,4044799.6165669602,4044831.1193067133,4044856.4477811866,4044707.2414658368,4044757.9014945957,4044797.753964901,4044829.4145200513,4044854.9110735813,4044705.3307953607,4044756.0046225917,4044795.9624078427,4044827.766259002,4044853.417309044,4044703.5088509554,4044754.187154453,4044794.2379014776,4044826.1723564053,4044851.9659462385,4044701.7686627056,4044752.4436203623,4044792.576600559,4044824.6304955026,4044850.5560352933
5,2021-07-06,4044639.6839084234,4044698.738560372,4044744.408962848,4044780.1233747085,4044808.475819652,4044635.531843692,4044695.0151668,4044741.323049973,4044777.7293886663,4044806.759406904,4044631.6331600486,4044691.411725969,4044738.219190534,4044775.1889974643,4044804.7811688134,4044627.9809468538,4044687.959881911,4044735.1653049747,4044772.602379162,4044802.669593631,4044624.5595606063,4044684.6696253987,4044732.1960085877,4044770.0262321387,4044800.500804228,4044621.3506061407,4044681.540213295,4044729.3278873176,4044767.4928309447,4044798.3209223994,4044618.3355937777,4044678.565665305,4044726.5675213556,4044765.020243693,4044796.1581997657,4044615.497079318,4044675.737616568,4044723.9158767466,4044762.6180623528,4044794.029913001,4044612.8190939957,4044673.046822286,4044721.370786252,4044760.2907352597,4044791.9464365197,4044610.287240817,4044670.4839514247,4044718.928383855,4044758.0395628167,4044789.913725742,4044607.888638172,4044668.039996022,4044716.5839472204,4044755.863921007,4044787.9348718217,4044605.6117991866,4044665.7064693538,4044714.33239614,4044753.7620253665,4044786.0110966787,4044603.4464901406,4044663.4754874036,4044712.1685868283,4044751.731414522,4044784.1424014997,4044601.3835887583,4044661.3397862213,4044710.0874830876,4044749.7692589355,4044782.327995662,4044599.4149518,4044659.2927049017,4044708.08425238,4044747.87255876,4044780.5665837424
6,2021-07-07,4044537.0393520133,4044605.497036322,4044659.768050079,4044702.9508745717,4044737.672496338,4044532.472328928,4044601.2572539086,4044656.1680883314,4044700.108251982,4044735.606902137,4044528.189723788,4044597.159183772,4044652.5510259736,4044697.094335136,4044733.2277223608,4044524.1828844617,4044593.238241525,4044648.9959475407,4044694.028263562,4044730.6899552625,4044520.4336993005,4044589.5051452345,4044645.5428987914,4044690.977295319,4044728.085328799,4044516.921184811,4044585.9584341333,4044642.2108347435,4044687.97956563,4044725.4693195643,4044513.624391838,4044582.59075607,4044639.0070397225,4044685.0562912016,4044722.875819407,4044510.5236371183,4044579.392120026,4044635.93227679,4044682.218612697,4044720.325474476,4044507.600954816,4044576.35160409,4044632.9836915317,4044679.4715712816,4044717.8306104266,4044504.8401841326,4044573.458250641,4044630.1564871836,4044676.816487518,4044715.398234449,4044502.2268922366,4044570.7015233706,4044627.444905382,4044674.252417763,4044713.031913613,4044499.7482294794,4044568.0715245367,4044624.8428040943,4044671.777061939,4044710.732975981,4044497.392764043,4044565.5590803856,4044622.343996955,4044669.3873367943,4044708.5012925277,4044495.15031844,4044563.1557546705,4044619.94244906,4044667.0797409173,4044706.3357935976,4044493.011817823,4044560.853824044,4044617.6323854737,4044664.850587812,4044704.23481389
7,2021-07-08,4044430.533156592,4044507.303215215,4044569.6511107236,4044620.103242937,4044661.175296757,4044425.665418404,4044502.632958033,4044565.5918665566,4044616.842411681,4044658.7746412307,4044421.1056112093,4044498.123607547,4044561.5171536934,4044613.38771497,4044656.0111288824,4044416.8436175594,4044493.813583223,4044557.5159877227,4044609.876008474,4044653.0652904315,4044412.8593654963,4044489.7140641655,4044553.633181641,4044606.3843716495,4044650.043855308,4044409.1298558246,4044485.8228582595,4044549.8897110834,4044602.9563514455,4044647.011265422,4044405.6322446056,4044482.131353975,4044546.293395663,4044599.616036923,4044644.006793228,4044402.3451361577,4044478.628106532,4044542.844731188,4044596.375947949,4044641.054277165,4044399.249045767,4044475.3007137687,4044539.540173219,4044593.241616792,4044638.167871243,4044396.3264772366,4044472.1367937545,4044536.374027263,4044590.214326334,4044635.3555483674,4044393.561827835,4044469.1244794214,4044533.339552383,4044587.2927842923,4044632.621291069,4044390.941223641,4044466.252649782,4044530.4296091367,4044584.474165043,4044629.966491225,4044388.4523351095,4044463.5110169738,4044527.6370381042,4044581.754766193,4044627.390860329,4044386.0841963193,4044460.8901351774,4044524.954876687,4044579.1304255486,4044624.8930299343,4044383.8270381573,4044458.3813685263,4044522.376477831,4044576.5967864906,4044622.4709521057
8,2021-07-09,4044320.9319685283,4044404.912169228,4044474.7451604023,4044532.18839951,4044579.517945071,4044315.857148638,4044399.8912517806,4044470.282241674,4044528.5432060505,4044576.800026714,4044311.107010616,4044395.0476099583,4044465.8059638413,4044524.683918287,4044573.6729352614,4044306.670310555,4044390.422008368,4044461.414034686,4044520.763705809,4044570.3414572263,4044302.525528654,4044386.0258975555,4044457.1553895837,4044516.868654761,4044566.926548835,4044298.64819869,4044381.856395017,4044453.052704283,4044513.047242206,4044563.5011303592,4044295.0141091594,4044377.903781577,4044449.1141952826,4044509.326144603,4044560.109541127,4044291.60063555,4044374.1553593217,4044445.3400564855,4044505.7190957894,4044556.7786065754,4044288.387208038,4044370.59746293,4044441.726077905,4044502.23202847,4044553.524173827,4044285.3553798967,4044367.216502797,4044438.265724866,4044498.86614434,4044550.3550926596,4044282.488718289,4044363.9994886955,4044434.951348983,4044495.61978905,4044547.2757035755,4044279.7726245504,4044360.9342709444,4044431.7748968033,4044492.4896172103,4044544.2874263045,4044277.194135538,4044358.009627557,4044428.728321921,4044489.4713252094,4044541.3897918374,4044274.74173016,4044355.2152684075,4044425.803819434,4044486.5601155097,4044538.5811223765,4044272.405151494,4044352.54179621,4044422.9939529314,4044483.750991248,4044535.858984146
9,2021-07-10,4044208.819016037,4044298.92004312,4044375.605711655,4044439.7061708285,4044493.14456343,4044203.610086695,4044293.6200827253,4044370.7931819023,4044435.71187211,4044490.1294194586,4044198.7368960576,4044288.5108999275,4044365.9696273613,4044431.485521715,4044486.6619960796,4044194.187421449,4044283.635056206,4044361.2402544417,4044427.195130898,4044482.9698701096,4044189.93916541,4044279.0041481494,4044356.6575162304,4044422.93494904,4044479.1873438894,4044185.966680147,4044274.614680834,4044352.2455026037,4044418.7578948042,4044475.395270688,4044182.244844042,4044270.4559996063,4044348.0127175995,4044414.692951522,4044471.642712407,4044178.7502178927,4044266.5143641005,4044343.9590427387,4044410.7549117967,4044467.959262113,4044175.4615146033,4044262.7750664,4044340.0796469403,4044406.9500305634,4044464.3623205177,4044172.359660682,4044259.2235251255,4044336.36722934,4044403.279397998,4044460.861526921,4044169.4276770973,4044255.8458310817,4044332.8133227373,4044399.7409972157,4044457.4615271306,4044166.6504892185,4044252.6289953627,4044329.4090541494,4044396.3309810963,4044454.1637394023,4044164.014718505,4044249.56103576,4044326.1455853395,4044393.044474085,4044450.9675007346,4044161.508480453,4044246.6309764604,4044323.0143619385,4044389.8760791016,4044447.8708212646,4044159.1211992805,4044243.8288029525,4044320.0072470303,4044386.8201983,4044444.8708859826
